id;description;type;expected_cost_unit;sell_price_unit;number_units;room;system
1;bypass;SALE_ITEM;81332;72113;35898;integrated;eyeballs Bedfordshire salmon
2;Maine Chair;SALE_ITEM;31168;80420;7727;wireless;neural Berkshire cross-platform
3;mobile Data;SALE_ITEM;77356;64163;67267;web-readiness;Administrator Buckinghamshire system
4;Wyoming mobile Home;SALE_ITEM;57736;92376;65479;Awesome Sleek Customizable;Wooden overriding compressing
5;throughput Uzbekistan time-frame;LABOR;48064;60293;90533;Dinar Legacy;bandwidth orchestration Synergistic
6;SCSI;LABOR;33794;42700;37202;grow Kina;program interactive
7;Senior;LABOR;9464;70620;65106;ROI;Bedfordshire
8;PNG Functionality Pines;SALE_ITEM;93427;99016;39227;generating grow;International Sharable Poland
9;deposit;LABOR;82431;38088;5269;Bedfordshire;Global
10;withdrawal;SALE_ITEM;75445;82871;32616;TCP Texas Oro;input
