id;note;location;asset_id_serial;asset_id_mac;received_date
1;Awesome non-volatile up;Diverse invoice Estates;tangible;Account Croatia;2022-06-10
2;Mississippi capability;Handcrafted Sweden withdrawal;orange Account Program;Idaho facilitate;2022-06-10
3;Garden Wooden;Club Senior set;Direct bypass Namibia;Garden invoice;2022-06-10
4;Shirt Pants Manager;Ergonomic navigate Beauty;Berkshire world-class Radial;Planner;2022-06-10
5;Integration;haptic;Illinois Tasty;Operations Identity;2022-06-10
6;Highway Auto;Refined;functionalities Soft;Kina;2022-06-10
7;Bedfordshire Plastic;pixel Concrete;vertical connecting client-server;matrices dynamic;2022-06-10
8;global functionalities;Saint;Avon feed;olive Borders Avon;2022-06-10
9;Myanmar copying;Rubber;Division envisioneer;JSON Clothing Bedfordshire;2022-06-10
10;SMTP haptic Plastic;reboot microchip strategize;Borders;wireless override Avon;2022-06-10
