id;legal_entity;nickname;billing_address
1;invoice JSON Wyoming;pixel;extend Fish
2;Triple-buffered;Granite Maine;Switchable Real
3;deposit Industrial;matrix state Sports;Darussalam Electronics
4;red navigate;vertical Denmark;Savings
5;up invoice overriding;Functionality maximized Shoes;interfaces Andorra
6;standardization;experiences;Morocco
7;navigate mindshare Peso;frictionless concept Grass-roots;Field
8;withdrawal reboot;Chair;Denmark Steel
9;connect Account;Monitored circuit;back-end Lari
10;JBOD;paradigm mobile;Direct Associate program
